Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Median,0,0.00%,28.911111,0.00%,Low difficulty to fill,-22.22%
Powermock,62479.052723,0.00%,25.570455,6.25%,High difficulty to fill,-24.00%
Dam Construction,28020.214343,0.00%,33.427966,3.74%,Medium difficulty to fill,-3.70%
Vasculitis,63093.05774,0.00%,29.764706,7.43%,High difficulty to fill,5.26%
Advanced Security Analytics,111436.571205,0.00%,25.736842,11.22%,High difficulty to fill,100.00%
Reticulocytes (Retic),687.232787,0.00%,27.364162,0.07%,Low difficulty to fill,-5.56%
Multi-Core Software,102575.741576,0.00%,29.755556,12.08%,High difficulty to fill,-10.00%
Test Runner,59044.8827,0.00%,24.524272,5.64%,High difficulty to fill,12.50%
Climate Analysis,37686.771205,0.00%,29.506849,4.40%,Medium difficulty to fill,-10.53%
Stage Rigging,0,0.00%,30.984733,0.00%,Low difficulty to fill,-7.41%
Avid Symphony,10760.21969,0.00%,33.066667,1.42%,Low difficulty to fill,0.00%
Symptoms Monitoring,11246.377608,0.00%,29.4,1.31%,Low difficulty to fill,-2.08%
Microsoft LUIS,79299.401508,0.00%,23.305,7.17%,High difficulty to fill,100.00%
Geothermal Heating,15039.078522,0.00%,32.650735,1.96%,Low difficulty to fill,-9.22%
Optic Nerve,0,0.00%,30.079576,0.00%,Low difficulty to fill,2.08%
Total Physical Response,14270.804539,0.00%,29.631579,1.67%,Low difficulty to fill,0.00%
Mechanical Systems Drawings,12466.850372,0.00%,32.6,1.62%,Low difficulty to fill,-25.00%
Energy Efficiency Assessment,0,0.00%,31.486486,0.00%,Low difficulty to fill,-38.10%
VBAC,121685.457227,0.00%,29.682292,14.29%,High difficulty to fill,0.00%
Software Patents,100348.662872,0.00%,22.076923,8.55%,High difficulty to fill,0.00%
WordPress Admin,13908.449637,0.00%,32.875,1.82%,Low difficulty to fill,-50.00%
Pixyz,48470.73018,0.00%,32.021277,6.17%,High difficulty to fill,100.00%
Breakdancing,0,0.00%,35.030612,0.00%,Low difficulty to fill,-50.00%
Gross Pathology,47432.492417,0.00%,33.003077,6.24%,High difficulty to fill,-5.41%
Wise Package Studio,36515.425627,0.00%,25.929204,3.71%,Medium difficulty to fill,-50.00%
Film Coating,0,0.00%,29.797414,0.00%,Low difficulty to fill,4.76%
Web Language,21696.504539,0.00%,21.69375,1.81%,Low difficulty to fill,0.00%
MediTouch,0,0.00%,32.303571,0.00%,Low difficulty to fill,0.00%
Ifttt,29465.275967,0.00%,26.491525,3.06%,Medium difficulty to fill,-25.00%
Infinite Impulse Response,71718.752158,0.00%,34.405405,9.86%,High difficulty to fill,200.00%
Qooxdoo,56603.037872,0.00%,16.666667,3.52%,Medium difficulty to fill,0.00%
Proton NMR,3587.560599,0.00%,28.235294,0.40%,Low difficulty to fill,0.00%
Shaken Baby Syndrome,0,0.00%,32.831395,0.00%,Low difficulty to fill,-5.56%
Steady State,67753.037872,0.00%,4,0.57%,Low difficulty to fill,-100.00%
Thrombocytopenia,23332.287872,0.00%,27.159204,2.49%,Low difficulty to fill,-23.08%
DIAlux,24207.909432,0.00%,29.724868,2.85%,Medium difficulty to fill,0.00%
Portal Servers,49502.295154,0.00%,28.196078,5.50%,Medium difficulty to fill,-9.52%
Access Modifiers,50053.799777,0.00%,27.023256,5.31%,Medium difficulty to fill,-37.50%
Destructive Physical Analysis,51262.666615,0.00%,29.619048,6.01%,High difficulty to fill,11.11%
Nutanix Prism,40499.443277,0.00%,25.454545,4.03%,Medium difficulty to fill,0.00%
Partial Views,57516.787872,0.00%,32,7.32%,High difficulty to fill,0.00%
Incremental Backup,32776.021999,0.00%,24.413793,3.12%,Medium difficulty to fill,-20.00%
Regional Internet Registry,87761.704539,0.00%,35.315789,12.41%,High difficulty to fill,-50.00%
BobCAD,0,0.00%,30.743902,0.00%,Low difficulty to fill,-7.14%
Land-Atmosphere Interactions,23462.648983,0.00%,30.08,2.80%,Medium difficulty to fill,-40.00%
Single Source Publishing,20664.502439,0.00%,30.647619,2.51%,Low difficulty to fill,-38.10%
Non-Classical Analysis,57650.931489,0.00%,29.073171,6.62%,High difficulty to fill,-16.67%
Myocardial Perfusion Imaging,42104.898983,0.00%,25.931373,4.28%,Medium difficulty to fill,-25.00%
Maple (Software),5777.2355,0.00%,31.566667,0.72%,Low difficulty to fill,-11.77%
Watershed Improvement,1880.382467,0.00%,28.533333,0.21%,Low difficulty to fill,-14.29%
Data Recovery Software,0,0.00%,38,0.00%,Low difficulty to fill,0.00%
Evolutionary Acquisition Of Neural Topologies,12942.180729,0.00%,34.92,1.81%,Low difficulty to fill,-12.50%
Application Level Multicast Infrastructure (ALMI),33440.102807,0.00%,29.98913,3.97%,Medium difficulty to fill,0.00%
Endianness,71497.155519,0.00%,29.459459,8.33%,High difficulty to fill,-100.00%
Urban Resilience,27398.905797,0.00%,24.061728,2.56%,Low difficulty to fill,-40.00%
Flash Memory,79211.343697,0.00%,28.620061,8.95%,High difficulty to fill,-29.41%
Invertebrate Zoology,23017.651369,0.00%,29.656863,2.70%,Low difficulty to fill,-5.41%
Viber,34869.974042,0.00%,30.912281,4.28%,Medium difficulty to fill,-25.00%
XML Databases,45719.631622,0.00%,22.869565,4.05%,Medium difficulty to fill,-16.67%
Non-Conforming Uses,0,0.00%,29.073171,0.00%,Low difficulty to fill,0.00%
Social Structure,17471.291603,0.00%,32.060606,2.23%,Low difficulty to fill,-25.00%
Literary Theory,40.837872,0.00%,36.387097,0.01%,Low difficulty to fill,-25.00%
Fluid Power,0,0.00%,31.65493,0.00%,Low difficulty to fill,-34.04%
Reality Television,11025.874607,0.00%,33.038462,1.45%,Low difficulty to fill,-25.00%
Advanced Filter,25383.723586,0.00%,27.333333,2.73%,Low difficulty to fill,0.00%
Psychiatric Review,36517.910599,0.00%,30.058824,4.35%,Medium difficulty to fill,-18.75%
Molecular Mechanics,38688.037872,0.00%,26.775,4.07%,Medium difficulty to fill,-100.00%
Tuboplasty,130467.871205,0.00%,27.666667,14.21%,High difficulty to fill,-100.00%
IEC 61970 Standard,55116.037872,0.00%,32,7.02%,High difficulty to fill,50.00%
Anterior Cruciate Ligament Reconstruction,8413.371205,0.00%,34.823529,1.17%,Low difficulty to fill,0.00%
Application Delivery Network,71215.371205,0.00%,23.391304,6.46%,High difficulty to fill,11.11%
Internal Fixation,21279.50846,0.00%,31.25,2.64%,Low difficulty to fill,-15.38%
Microsoft Blend,42834.254088,0.00%,25.018868,4.18%,Medium difficulty to fill,-100.00%
Teradata BI,54438.004539,0.00%,36.115385,7.88%,High difficulty to fill,-100.00%
Dial-Up Internet Access,0,0.00%,29.787234,0.00%,Low difficulty to fill,0.00%
Remote Debugging,52701.481171,0.00%,27.619863,5.73%,High difficulty to fill,-5.71%
Oophorectomy,142336.037872,0.00%,35.694444,20.35%,High difficulty to fill,-20.00%
Windows Legacy Audio Components,10331.174236,0.00%,19.25,0.76%,Low difficulty to fill,-33.33%
Ionic Native,56751.637872,0.00%,20.764706,4.52%,Medium difficulty to fill,0.00%
Test Management Approach (TMap),42713.537872,0.00%,29.7,5.02%,Medium difficulty to fill,-50.00%
Artificial Linguistic Internet Computer Entity (ALICE),0,0.00%,,0.00%,Low difficulty to fill,0.00%
NetApp Data Storage,27499.037872,0.00%,29.263158,3.18%,Medium difficulty to fill,0.00%
IBM Rational SQABasic,54335.037872,0.00%,30,6.46%,High difficulty to fill,0.00%
Public Interest Design,4788.904539,0.00%,37,0.71%,Low difficulty to fill,-50.00%
Sand Equivalent Testing,0,0.00%,29.703704,0.00%,Low difficulty to fill,-50.00%
MemcacheDB,49169.704539,0.00%,22.85,4.35%,Medium difficulty to fill,-50.00%
Procomm Plus,5954.106838,0.00%,34.3625,0.82%,Low difficulty to fill,-25.00%
Green Walls,0,0.00%,32.067308,0.00%,Low difficulty to fill,-31.58%
QAD Cloud ERP,15729.704539,0.00%,31.714286,1.98%,Low difficulty to fill,0.00%
Substrings,24169.211785,0.00%,28.526316,2.72%,Low difficulty to fill,-50.00%
Computer-Assisted Audit Tools And Techniques (CAATT),40856.948128,0.00%,31.482759,5.11%,Medium difficulty to fill,20.00%
Mechanical Advantage,0,0.00%,32.48,0.00%,Low difficulty to fill,-50.00%
Covered Interest Arbitrage,,0.00%,,0.00%,Low difficulty to fill,0.00%
Connection String,26606.180729,0.00%,29.625,3.12%,Medium difficulty to fill,0.00%
SAS Forecast Servers,21332.537872,0.00%,33.619048,2.86%,Medium difficulty to fill,0.00%
Contextual Design,47877.037872,0.00%,25.092593,4.69%,Medium difficulty to fill,0.00%
Distance Sampling,0,0.00%,30.272727,0.00%,Low difficulty to fill,-33.33%
Risk-Free Interest Rate,104295.537872,0.00%,29.454545,12.15%,High difficulty to fill,0.00%
Consensus Protocol,89527.699162,0.00%,29.368932,10.40%,High difficulty to fill,-25.00%
Videoscape Distribution Suite,27003.037872,0.00%,58,6.42%,High difficulty to fill,0.00%
Transcultural Nursing,24050.979048,0.00%,35,3.37%,Medium difficulty to fill,0.00%
SAP Connector,72382.137872,0.00%,22.818182,6.39%,High difficulty to fill,-100.00%
On Demand Routing,0,0.00%,27.4,0.00%,Low difficulty to fill,0.00%
Apple ProRes,25203.561682,0.00%,26.16129,2.58%,Low difficulty to fill,100.00%
PrestoDB,89777.963798,0.00%,26.0625,9.17%,High difficulty to fill,-100.00%
Cognos Impromptu,18822.260094,0.00%,29.56,2.20%,Low difficulty to fill,-50.00%
Adaptive Equalizer,114062.489485,0.00%,22.277778,9.81%,High difficulty to fill,-50.00%
Commercial Electric Work,0,0.00%,36.272727,0.00%,Low difficulty to fill,-100.00%
Soft Computing,48603.037872,0.00%,41,8.04%,High difficulty to fill,0.00%
Centrifugal Fan,5488.145015,0.00%,29.402985,0.64%,Low difficulty to fill,-25.00%
Sceneform,89389.704539,0.00%,28.588235,10.09%,High difficulty to fill,0.00%
Cytological Techniques,31127.733524,0.00%,30.2,3.72%,Medium difficulty to fill,-14.29%
Sport Governance,15930.180729,0.00%,33.702703,2.14%,Low difficulty to fill,-66.67%
RiskMetrics,88819.037872,0.00%,33.666667,11.93%,High difficulty to fill,0.00%
Eclipse Process Framework,0,0.00%,27.833333,0.00%,Low difficulty to fill,-100.00%
Disk Io,65808.087872,0.00%,22.512195,5.73%,High difficulty to fill,-50.00%
Internet Layer,64627.248398,0.00%,30.833333,7.91%,High difficulty to fill,0.00%
Scanning Spreading Resistance Microscopy,28553.037872,0.00%,32.5,3.70%,Medium difficulty to fill,0.00%
UrbanSim,27511.422487,0.00%,42.142857,4.69%,Medium difficulty to fill,0.00%
Quote Generators,19331.946963,0.00%,30.75,2.36%,Low difficulty to fill,0.00%
MIPS Instruction Set,61403.037872,0.00%,33,8.08%,High difficulty to fill,0.00%
Activeadmin,58703.037872,0.00%,27.333333,6.31%,High difficulty to fill,-50.00%
Deltoid Muscle,6153.037872,0.00%,25.5,0.61%,Low difficulty to fill,-50.00%
Bisynchronous Protocols,7073.037872,0.00%,17.333333,0.46%,Low difficulty to fill,0.00%
InfoTrac,,0.00%,,0.00%,Low difficulty to fill,0.00%
Design Consideration,63429.662378,0.00%,27.882353,6.97%,High difficulty to fill,-15.79%
Wrongful Dismissal,54125.322919,0.00%,32.25,6.95%,High difficulty to fill,-5.56%
HMMER,0,0.00%,23.47619,0.00%,Low difficulty to fill,0.00%
Circuit Emulation,53651.669947,0.00%,28.792793,6.10%,High difficulty to fill,0.00%
Day Cq,64066.396363,0.00%,25.729412,6.45%,High difficulty to fill,-33.33%
Graphic Organizer,0,0.00%,29.445714,0.00%,Low difficulty to fill,15.38%
Interactive Kiosk,1414.948586,0.00%,31.826087,0.18%,Low difficulty to fill,12.50%
Comb Binding,0,0.00%,31.423729,0.00%,Low difficulty to fill,-20.00%
Adobe Analysis Workspace,48287.822186,0.00%,26.246032,4.97%,Medium difficulty to fill,-33.33%
Information Framework,93362.164539,0.00%,24.668161,8.98%,High difficulty to fill,-43.75%
Encoded Archival Description,1780.613412,0.00%,34.175676,0.24%,Low difficulty to fill,-14.29%
Radio Direction Finder,51109.446963,0.00%,26.870968,5.39%,Medium difficulty to fill,0.00%
Forced Draft Systems,0,0.00%,29.671429,0.00%,Low difficulty to fill,-5.00%
Oracle Advanced Queuing,55388.375372,0.00%,29.520833,6.47%,High difficulty to fill,16.67%
Energy Efficiency Research,30664.78297,0.00%,34.4375,4.22%,Medium difficulty to fill,-66.67%
Precedence Diagram Method,45243.037872,0.00%,36.666667,6.66%,High difficulty to fill,-33.33%
Cell Fractionation,1791.062262,0.00%,32.473684,0.23%,Low difficulty to fill,-37.50%
Remote Procedure Call,67705.150372,0.00%,23.789063,6.26%,High difficulty to fill,-14.29%
Jing (Software),0,0.00%,39.222222,0.00%,Low difficulty to fill,0.00%
Java Secure Socket Extension,50899.871205,0.00%,31.666667,6.41%,High difficulty to fill,-14.29%
Chromium OS,1618.858385,0.00%,29.534884,0.19%,Low difficulty to fill,-100.00%
Apache Giraph,90805.537872,0.00%,27.222222,9.72%,High difficulty to fill,-66.67%
Inner Healing Movement,3358.704539,0.00%,17.333333,0.22%,Low difficulty to fill,0.00%
Photographic Emulsion,0,0.00%,37,0.00%,Low difficulty to fill,-100.00%
ManyChat,0,0.00%,26.478261,0.00%,Low difficulty to fill,-100.00%
Infobright,,0.00%,34.166667,0.00%,Low difficulty to fill,0.00%
Inline Function,87506.350372,0.00%,29.679245,10.28%,High difficulty to fill,-75.00%
XML Pipeline,,0.00%,35.5,0.00%,Low difficulty to fill,0.00%
VoIP Recording,,0.00%,49.8,0.00%,Low difficulty to fill,0.00%
Literary Publishing,7019.287872,0.00%,25.785714,0.71%,Low difficulty to fill,0.00%
Polyester,0,0.00%,32.090909,0.00%,Low difficulty to fill,0.00%
Team Building Workshop,8310.537872,0.00%,39.111111,1.31%,Low difficulty to fill,0.00%
Openx,53853.037872,0.00%,42,9.14%,High difficulty to fill,0.00%
Airport Movement Area Safety Systems,,0.00%,39.333333,0.00%,Low difficulty to fill,0.00%
Page Replacement,0,0.00%,29,0.00%,Low difficulty to fill,0.00%
Hydrogen Purifier,3936.371205,0.00%,28.217391,0.44%,Low difficulty to fill,0.00%
Profile Scripting Language,78586.371205,0.00%,30.366667,9.46%,High difficulty to fill,-80.00%
Default Route,53446.137872,0.00%,27.923077,5.88%,High difficulty to fill,0.00%
Kenworth T600,0,0.00%,42,0.00%,Low difficulty to fill,0.00%
Helicon Focus,0,0.00%,26.125,0.00%,Low difficulty to fill,0.00%
Virtual Reality Modeling Language,9103.037872,0.00%,27,0.97%,Low difficulty to fill,0.00%
Operating Deflection Shape,49938.537872,0.00%,34,6.78%,High difficulty to fill,0.00%
Influenza Treatment,,0.00%,57,0.00%,Low difficulty to fill,0.00%
Intel Active Management Technology,201653.037872,0.00%,21,16.26%,High difficulty to fill,0.00%
GtkRadiant,80480.037872,0.00%,26.4,8.33%,High difficulty to fill,0.00%
SAM Learning,19263.037872,0.00%,36,2.78%,Medium difficulty to fill,-50.00%
Interactive Music Streaming Engine (IMUSE),,0.00%,,0.00%,Low difficulty to fill,0.00%
BackupPC,4907.037872,0.00%,21,0.40%,Low difficulty to fill,0.00%
Oracle Exalytics,69762.037872,0.00%,8.5,1.92%,Low difficulty to fill,0.00%
Windows Live Mesh,86925.437872,0.00%,28.5,9.77%,High difficulty to fill,0.00%
DOT (Graph Description Language),21685.037872,0.00%,37,3.22%,Medium difficulty to fill,0.00%
CATS Applicant Tracking System,11063.807103,0.00%,29.75,1.30%,Low difficulty to fill,-100.00%
Jacquard Weaving,0,0.00%,27,0.00%,Low difficulty to fill,-100.00%
OCS Inventory,0,0.00%,19.75,0.00%,Low difficulty to fill,0.00%
Canonical Mapping,,0.00%,22,0.00%,Low difficulty to fill,0.00%
Xfig,64523.037872,0.00%,21.5,5.34%,Medium difficulty to fill,0.00%
Neighbor Discovery Protocols,77103.037872,0.00%,,-0.65%,Low difficulty to fill,0.00%
Seabed,,0.00%,35.5,0.00%,Low difficulty to fill,-100.00%
GEOS,48404.537872,0.00%,28.25,5.39%,Medium difficulty to fill,0.00%
Phosphorus-31 NMR Spectroscopy,,0.00%,32,0.00%,Low difficulty to fill,0.00%
SNL Financial,127369.912872,0.00%,25.666667,12.79%,High difficulty to fill,0.00%
Group Delay And Phase Delay,22603.037872,0.00%,13,1.06%,Low difficulty to fill,-100.00%
Dendrimer,3037.037872,0.00%,15,0.17%,Low difficulty to fill,0.00%
RSA BSAFE Library,,0.00%,,0.00%,Low difficulty to fill,0.00%
Direct-Sequence Spread Spectrum,69311.537872,0.00%,23.5,6.32%,High difficulty to fill,-33.33%
Fiber Simulation,32253.037872,0.00%,26,3.28%,Medium difficulty to fill,-100.00%
Unattended Ground Sensor,27203.037872,0.00%,22.333333,2.35%,Low difficulty to fill,0.00%
TinkerPlots,0,0.00%,,0.00%,Low difficulty to fill,0.00%
Expeller Pressing,,0.00%,,0.00%,Low difficulty to fill,0.00%
Odroid,22644.323586,0.00%,39.071429,3.56%,Medium difficulty to fill,0.00%
Rich Internet Application Frameworks,81603.037872,0.00%,17,5.19%,Medium difficulty to fill,0.00%
HELLP Syndrome,0,0.00%,31.285714,0.00%,Low difficulty to fill,0.00%
Javacv,1603.037872,0.00%,30,0.19%,Low difficulty to fill,0.00%
Arrow Diagramming Methods,35053.037872,0.00%,24.5,3.35%,Medium difficulty to fill,-100.00%
TRANSYT,35819.037872,0.00%,36.5,5.24%,Medium difficulty to fill,0.00%
Operations Systems Modification Of Intelligent Network Elements,,0.00%,,0.00%,Low difficulty to fill,0.00%
Dividend Discount Models,26603.037872,0.00%,19,1.92%,Low difficulty to fill,0.00%
Leachate,,0.00%,57,0.00%,Low difficulty to fill,0.00%
Tweenmax,0,0.00%,40,0.00%,Low difficulty to fill,0.00%
DAZ Studio,,0.00%,56,0.00%,Low difficulty to fill,0.00%
CodonCode Aligner,,0.00%,,0.00%,Low difficulty to fill,0.00%
Modified Internal Rate Of Return,11603.037872,0.00%,,-0.10%,Low difficulty to fill,0.00%
DiskTracker,0,0.00%,20,0.00%,Low difficulty to fill,0.00%
Isometry,,0.00%,28.714286,0.00%,Low difficulty to fill,0.00%
EDOS,0,0.00%,,0.00%,Low difficulty to fill,0.00%
Packet Crafting,0,0.00%,,0.00%,Low difficulty to fill,0.00%
Service Data Objects,54486.371205,0.00%,48.142857,10.67%,High difficulty to fill,-50.00%
Portable Extensible Toolkit For Scientific Computation,,0.00%,,0.00%,Low difficulty to fill,0.00%
Object Databases,,0.00%,,0.00%,Low difficulty to fill,0.00%
Log4cplus,,0.00%,,0.00%,Low difficulty to fill,0.00%
Monitoring And Remediation Optimization System,,0.00%,,0.00%,Low difficulty to fill,0.00%
MetaCards,76603.037872,0.00%,34,10.40%,High difficulty to fill,0.00%
Mozilla Application Suite,,0.00%,21.5,0.00%,Low difficulty to fill,0.00%
Constant-Voltage Transformers,,0.00%,25,0.00%,Low difficulty to fill,0.00%
BET Theory,55153.037872,0.00%,,-0.47%,Low difficulty to fill,0.00%
Suction Filtration,0,0.00%,40.5,0.00%,Low difficulty to fill,0.00%
Ssrs 2000,,0.00%,,0.00%,Low difficulty to fill,0.00%
Mood Tracking,,0.00%,56,0.00%,Low difficulty to fill,0.00%
Lightweight X11 Desktop Environment (LXDE),,0.00%,19,0.00%,Low difficulty to fill,0.00%
Autofixture,,0.00%,15,0.00%,Low difficulty to fill,0.00%
Keyguard,0,0.00%,36.666667,0.00%,Low difficulty to fill,0.00%
Integrated Archaeological Databases,,0.00%,,0.00%,Low difficulty to fill,0.00%
Cookieless,,0.00%,,0.00%,Low difficulty to fill,0.00%
Ramaze (Free Software Programmed In Ruby),,0.00%,,0.00%,Low difficulty to fill,0.00%
Temperature Measurement,0,0.00%,9,0.00%,Low difficulty to fill,0.00%
Adventure Game Studio,,0.00%,45,0.00%,Low difficulty to fill,0.00%
E-Accounting,0,0.00%,17,0.00%,Low difficulty to fill,0.00%
Electronic Speckle Pattern Interferometry,,0.00%,,0.00%,Low difficulty to fill,0.00%
Fast Response Survey Systems,,0.00%,21,0.00%,Low difficulty to fill,0.00%
Notepad (Software),39914.037872,0.00%,28.5,4.49%,Medium difficulty to fill,0.00%
Hypersonic Speed,,0.00%,14,0.00%,Low difficulty to fill,0.00%
Relative Import,,0.00%,,0.00%,Low difficulty to fill,0.00%
Holography,,0.00%,,0.00%,Low difficulty to fill,0.00%
System Image Utilities,,0.00%,,0.00%,Low difficulty to fill,0.00%
JWL Standard,,0.00%,22,0.00%,Low difficulty to fill,0.00%
Hazus,,0.00%,,0.00%,Low difficulty to fill,0.00%
Raiserror,,0.00%,12,0.00%,Low difficulty to fill,0.00%
Intrastromal Corneal Ring Segments,,0.00%,,0.00%,Low difficulty to fill,0.00%
Numerical Controls,0,0.01%,29.375164,0.00%,Low difficulty to fill,-8.36%
Cardiology,38970.676757,0.30%,29.416388,4.53%,Medium difficulty to fill,-0.81%
Project Evaluation,22899.854583,0.02%,29.355411,2.66%,Low difficulty to fill,-3.71%
Invoicing,0,2.43%,30.483827,0.00%,Low difficulty to fill,-0.58%
Organizational Charts,5541.732288,0.05%,29.847848,0.65%,Low difficulty to fill,-2.12%
Maintenance Scheduling,0,0.16%,31.003378,0.00%,Low difficulty to fill,5.29%
Production Planning,1025.212736,0.18%,30.447107,0.12%,Low difficulty to fill,-0.32%
Environment Health And Safety,9826.663156,0.68%,30.305545,1.18%,Low difficulty to fill,3.97%
Relational Databases,49360.977246,0.40%,27.815991,5.41%,Medium difficulty to fill,-1.60%
Teradata SQL,60264.103334,0.06%,27.081186,6.41%,High difficulty to fill,7.86%
Patient Positioning,7080.522656,0.19%,29.072677,0.81%,Low difficulty to fill,7.25%
Dressing Changes,14395.720263,0.13%,29.434852,1.68%,Low difficulty to fill,3.54%
Due Diligence,52733.902195,0.33%,30.222555,6.32%,High difficulty to fill,0.89%
Opera (Web Browser),0,0.00%,32.071192,0.00%,Low difficulty to fill,0.00%
Class Action,33807.520148,0.01%,30.729873,4.12%,Medium difficulty to fill,2.02%
Facility Repair And Maintenance,0,0.40%,30.734708,0.00%,Low difficulty to fill,-2.00%
Object-Oriented Programming (OOP),59408.123899,0.27%,26.740338,6.24%,High difficulty to fill,5.02%
XPath,56252.077624,0.01%,25.141551,5.52%,Medium difficulty to fill,-4.54%
Project Management,34384.320894,5.96%,29.561608,4.02%,Medium difficulty to fill,0.46%
Balancing (Ledger/Billing),0,1.26%,30.719133,0.00%,Low difficulty to fill,-1.53%
Narcotics,12018.692082,0.08%,30.560463,1.46%,Low difficulty to fill,-0.82%
Udeploy,68845.678574,0.01%,26.400723,7.13%,High difficulty to fill,1.48%
Portfolio Management,55231.47379,0.24%,29.692714,6.49%,High difficulty to fill,-3.08%
Public Works,6844.643431,0.11%,30.936486,0.84%,Low difficulty to fill,-1.93%
Internet Protocol Telephony,63696.902663,0.04%,28.07733,7.05%,High difficulty to fill,1.59%
Newsletters,0,0.39%,31.115794,0.00%,Low difficulty to fill,8.96%
Flyer,0,0.00%,30.401107,0.00%,Low difficulty to fill,0.00%
Financial Auditing,21591.660938,0.06%,30.108123,2.58%,Low difficulty to fill,0.67%
OAuth,67753.603831,0.07%,26.453865,7.03%,High difficulty to fill,2.17%
Billing Systems,0,0.09%,29.447605,0.00%,Low difficulty to fill,3.35%
Hygiene,0,0.07%,29.637652,0.00%,Low difficulty to fill,5.00%
Communicating With Patients,0,0.07%,30.275112,0.00%,Low difficulty to fill,2.68%
Statistical Packages,22894.052192,0.02%,29.495475,2.67%,Low difficulty to fill,3.25%
Socioeconomics,14853.271586,0.04%,32.437106,1.92%,Low difficulty to fill,-6.01%
Payment Card Industry (PCI) Data Security Standards,45580.679295,0.06%,28.863582,5.20%,Medium difficulty to fill,0.73%
Mulch,0,0.08%,33.561404,0.00%,Low difficulty to fill,1.62%
Artificial Intelligence,69792.671261,0.45%,28.181286,7.75%,High difficulty to fill,10.81%
Statistical Process Controls,10958.796167,0.15%,29.647677,1.29%,Low difficulty to fill,4.08%
Process Capability,24180.1057,0.03%,29.670826,2.84%,Medium difficulty to fill,2.10%
Java Servlet,62105.684501,0.02%,25.628558,6.23%,High difficulty to fill,1.85%
Analysis Of Variance (ANOVA),29973.902717,0.02%,30.497153,3.62%,Medium difficulty to fill,-4.34%
Keys And Locks,0,0.16%,31.114195,0.00%,Low difficulty to fill,1.40%
Athletics,0,0.01%,35.815481,0.00%,Low difficulty to fill,3.54%
Cloud Development,67657.986335,0.05%,27.245573,7.25%,High difficulty to fill,-0.80%
Injector,8524.526456,0.02%,29.326142,0.99%,Low difficulty to fill,-2.99%
Information And Learning Technology (ILT),19120.789769,0.01%,30.151633,2.28%,Low difficulty to fill,3.79%
Image Resolution,16519.870328,0.01%,30.331413,1.99%,Low difficulty to fill,0.18%
Space Flight,64742.899641,0.03%,30.321409,7.78%,High difficulty to fill,-1.01%
Print Production,0,0.08%,31.012111,0.00%,Low difficulty to fill,-17.68%
Aruba (Network Management Software),40400.018047,0.03%,22.466635,3.51%,Medium difficulty to fill,-8.59%
ANSYS Meshing,71048.352872,0.01%,27.104251,7.57%,High difficulty to fill,2.28%
Asset Valuation,44232.81666,0.00%,29.891836,5.24%,Medium difficulty to fill,2.73%
Medical Licensing (Health Law),141789.05921,0.03%,31.339915,17.65%,High difficulty to fill,2.99%
Quotations,6974.222497,0.10%,30.902748,0.86%,Low difficulty to fill,3.87%
SAP Manufacturing Execution (ME),48179.084517,0.00%,29.46932,5.62%,High difficulty to fill,1.05%
Test Case,46814.051883,0.05%,27.020557,4.97%,Medium difficulty to fill,1.51%
ProjectWise,26715.497486,0.01%,31.724524,3.37%,Medium difficulty to fill,-1.69%
Vertical Form Fill Sealing Machine,0,0.00%,27.348039,0.00%,Low difficulty to fill,-7.14%
Medical Case Management,9844.639862,0.01%,30.99576,1.21%,Low difficulty to fill,-6.35%
Control Theories,52582.710174,0.01%,29.250538,6.08%,High difficulty to fill,6.39%
Data Masking,64941.813806,0.01%,27.379156,6.99%,High difficulty to fill,-4.40%
Endpoint Management,33643.6528,0.01%,28.409804,3.77%,Medium difficulty to fill,2.38%
watchOS,99470.758302,0.00%,25.030871,9.72%,High difficulty to fill,2.04%
Language Evaluation,17502.521948,0.00%,30.953247,2.15%,Low difficulty to fill,-2.27%
Active Server Pages (ASP),34474.534946,0.07%,27.04556,3.66%,Medium difficulty to fill,0.73%
C# (Programming Language),56007.248074,0.57%,26.933563,5.93%,High difficulty to fill,0.27%
Motor Control,15083.51022,0.05%,29.294348,1.75%,Low difficulty to fill,2.49%
Resourcing,54644.862006,0.12%,28.951267,6.25%,High difficulty to fill,2.75%
Speech-Language Pathology,27893.412269,0.38%,30.791567,3.41%,Medium difficulty to fill,-2.83%
Forensic Sciences,44670.718112,0.06%,28.874635,5.09%,Medium difficulty to fill,-0.22%
Quality Improvement,23767.5189,0.90%,30.358084,2.86%,Medium difficulty to fill,-0.83%
Service-Level Agreement,21810.137523,0.23%,29.264427,2.52%,Low difficulty to fill,0.95%
Electronic Data Interchange,24299.736084,0.05%,28.859097,2.77%,Medium difficulty to fill,1.26%
Supplier Management,48941.142167,0.09%,28.641071,5.53%,Medium difficulty to fill,3.56%
Machine Operation,0,0.45%,29.816526,0.00%,Low difficulty to fill,-1.96%
Illustration,10100.404838,0.05%,30.441851,1.22%,Low difficulty to fill,0.53%
Network Routing,29629.784054,0.27%,28.423543,3.32%,Medium difficulty to fill,-1.64%
Analytical Techniques,30662.801338,0.13%,29.550561,3.58%,Medium difficulty to fill,5.11%
Concept Of Operations,68437.857471,0.05%,27.130956,7.30%,High difficulty to fill,0.26%
Credit Risk Management,67025.326956,0.02%,29.113964,7.71%,High difficulty to fill,1.21%
