Skills_Label,Growth Category,Mid Scenario
Death Certificates,Stable,3.26%
Artificial Intelligence Risk,,
Inductors,Growing,-4.66%
Garbage Collection (Computer Science),Growing,-10.29%
Interlibrary Loan,Stable,-3.57%
Hairstyling,Stable,-5.42%
Schedule Risk Analysis,Rapidly Growing,15.92%
Image File Formats,Rapidly Growing,4.54%
Motor Design,Growing,2.00%
Sensitivity Analysis,Growing,4.22%
LMS Imagine.Lab Amesim,Growing,-7.69%
HVAC Package Units,Stable,2.85%
Travel Cost Analysis,Stable,0.00%
Bone Densities,Growing,-4.35%
Moulding,Rapidly Growing,-3.85%
Mortuary Science,Stable,1.14%
Remote Authentication Dial In User Service (RADIUS),Growing,-0.36%
Robust Regression,Rapidly Growing,33.33%
Set Dresser,Rapidly Growing,11.11%
Plastics Extrusion,Growing,9.93%
Third-Party Warehousing,Growing,4.27%
Subsidized Housing,Growing,7.61%
Scrap Metals,Growing,-2.38%
Insurance Law,Stable,0.00%
Electronic Health Record Implementation,Growing,-1.16%
Gatsby.js (Javascript Library),Growing,12.68%
Xendesktop,Lagging,-0.65%
IBM Cloud Computing,Lagging,-6.14%
Fluvial Geomorphology,Growing,0.00%
Demand Modeling,Growing,4.54%
Emulators,Growing,8.67%
Metal Cutters,Lagging,-21.05%
Scooters,Stable,1.64%
Avature,Stable,-52.63%
Intensity-Modulated Radiation Therapy,Lagging,-2.51%
Neo4j,Stable,1.07%
Industrial Gases,Lagging,-3.82%
Drag And Drop,Stable,4.85%
Core Sampling,Rapidly Growing,-10.94%
SAP Material Management,Stable,-2.66%
Flame Cutting,Growing,-6.67%
Boundary Scan,Growing,3.57%
Semantic Web,Growing,-16.67%
Mantoux Testing,Growing,9.88%
Microsoft Lync Servers,Lagging,-2.86%
Mixing Tanks,Stable,6.90%
Haul Trucks,Growing,-17.47%
Correctional Medicine,Lagging,-8.20%
Azure Security,Stable,-3.24%
Refresher Training (Military),Growing,-9.52%
Jet Calibration,Stable,-25.00%
Birth Controls,Lagging,-17.53%
Algorithm Analysis,Stable,-2.50%
Mono,Lagging,-2.13%
Military Service,Stable,-13.89%
Industry Trend Analysis,Growing,-9.68%
Sustainable Horticulture,Rapidly Growing,-11.11%
Change Advisory,Growing,7.77%
Ferrule,Rapidly Growing,0.00%
Nuclear Density Gauge,Lagging,-2.23%
RemedyForce (Ticket Management Software),Growing,-26.09%
Technical Translation,Rapidly Growing,-12.25%
Online Certificate Status Protocol,Growing,-6.90%
Nuclear Deterrence,Rapidly Growing,5.17%
Sitefinity,Stable,-30.15%
Trauma Nursing,Lagging,-3.26%
Microelectronics,Growing,3.15%
Microsoft Antivirus,Rapidly Growing,-75.00%
Sigmoidoscopy,Lagging,-3.52%
Unit Conversion,Rapidly Growing,14.63%
Financial Statement Processing,Lagging,-16.47%
AppsFlyer (SaaS),Growing,2.63%
Atmospheric Dynamics,Rapidly Growing,2.50%
Surface Finishing,Growing,-2.04%
EHealth,Lagging,-50.00%
Induction Heating,Lagging,-8.00%
Meta Tags,Growing,4.76%
Cardiovascular Disorders,Lagging,-5.88%
Evidence Management,Rapidly Growing,12.07%
Alternative Fuel Vehicles,Growing,9.76%
Symantec Endpoint Protection,Growing,-2.08%
ControlNet Protocols,Stable,-8.00%
Java API For XML Processing,Rapidly Growing,0.00%
Glomerular Filtration Rate,Lagging,-50.00%
Amharic Language,Lagging,-24.44%
Logic Pro,Growing,-4.35%
Hydrologic Analysis,Growing,-2.28%
Gujarati Language,Lagging,-2.94%
Neuromuscular Medicine,Growing,0.00%
Hydrogen Liquefaction,Growing,-6.67%
Armed Experience,Lagging,-5.56%
ActiveX,Lagging,0.00%
Oracle Customer Experience (CX),Rapidly Growing,0.00%
Cancer Detection,Growing,-3.64%
Pipe Insulation,Growing,5.13%
Test Environment Management,Growing,-3.12%
Extensible Application Markup Language,Growing,-6.41%
Derivatives Markets,Stable,-12.90%
Virtual Backup,Rapidly Growing,-50.00%
Natural Language Generation,Rapidly Growing,-28.57%
Epic Stork,Stable,-13.33%
Telematics,Lagging,-11.54%
Context Sensitive Help,Lagging,-100.00%
Bridge Engineering,Lagging,-8.44%
Firebird Database,Growing,-14.29%
Sudo,Growing,0.00%
Privacy Act Of 1974,Stable,-1.65%
Skinning (Animation),Lagging,-6.82%
ViewModel,Stable,-34.15%
Reflexology,,
Dynamic Simulation,Growing,-6.12%
Cognitive Distortion,Rapidly Growing,-100.00%
Mobile Broadband,Growing,0.00%
National Response Framework,Growing,-3.66%
IBM Lotus Freelance Graphics,Stable,-5.56%
Population Dynamics,Stable,-6.25%
Antibody Conjugations,Rapidly Growing,0.00%
Duchenne Muscular Dystrophy,Growing,0.00%
Form Fields,Growing,0.00%
DITA Open Toolkits,Stable,-35.71%
Mechanism Design,Growing,-3.57%
Quantity Take-Offs,Growing,3.65%
Hyper-V,Stable,3.48%
Database Engines,Lagging,-3.26%
TeleCommunications Engineering,Growing,-4.36%
Door Frames,Lagging,-7.30%
Catalyst (Software),Stable,-5.92%
Online Course Development,Lagging,1.52%
Loose Coupling,Growing,-3.45%
Programming Concepts,Stable,1.10%
Big-Box Stores,Lagging,-20.45%
Zigbee,Stable,-75.81%
HR Service Delivery,,
Access Rules,Growing,6.82%
Diversity And Inclusion,Growing,4.04%
General Parallel File Systems,Growing,11.36%
Certified Mail,Growing,2.27%
Operating Partner,Growing,-3.23%
Business Service Management,Stable,4.11%
International Classification Of Diseases,Growing,1.94%
Heat Treating,Stable,-5.47%
Tube Bending,Growing,-6.67%
Linux Distribution,Stable,0.48%
Call Center Technology,Lagging,-12.18%
Patient Bathing,Growing,4.17%
Audio Post-Production,Rapidly Growing,-18.18%
Integrated Windows Authentication,Lagging,-2.59%
DISC Assessments,Lagging,-3.92%
Code Refactoring,Lagging,-1.67%
Tracking Systems (Geolocation),Lagging,1.20%
Quality Gate,Rapidly Growing,9.60%
Therapeutic Ultrasound,Growing,-7.25%
Health Policy Research,Growing,-5.56%
Residential Energy Efficiency,Rapidly Growing,-6.12%
Er Diagrams,Growing,-10.64%
3D Art,Stable,1.00%
Choral Music,Growing,-24.11%
Advanced Logic,Growing,-5.88%
EViews,Rapidly Growing,25.81%
Directory Structure,Growing,6.25%
Joint Personnel Adjudication System,Lagging,-6.67%
Appian (Software),Stable,-1.77%
Cold-Formed Steel,Rapidly Growing,-2.70%
Contamination,Lagging,-1.20%
Standard Widget Toolkits,Lagging,-4.17%
Hydraulic Calculations,Lagging,-0.29%
Contrast Studies,Growing,10.13%
Vacuum Tube,Growing,-21.43%
Decision Science,Stable,6.25%
Oracle Data Guard,Lagging,-8.99%
Basement Waterproofing,Growing,0.00%
Convalescence,Lagging,-3.95%
Soil Conservation,Stable,0.00%
Modified Bitumen Roofing,Stable,3.47%
Smart Board,Lagging,-7.14%
Workplace Diversity,Lagging,0.00%
IText (Free PDF Software),Rapidly Growing,-7.69%
Security Recommendations,Stable,4.03%
Impulse Control,Lagging,-8.33%
Hydrographic Survey,Growing,-1.14%
Soil Classification,Stable,6.25%
Kalman Filter,Lagging,-6.06%
Markov Model,Rapidly Growing,16.67%
Landscape Ecology,Stable,-8.82%
Remote Storage,Growing,-5.26%
Hugging Face (NLP Framework),Stable,-1.85%
Live Cell Imaging,Growing,4.76%
Pavement Management,Stable,3.33%
Windows Identity Foundation,Growing,-10.00%
Entropy Encoding,,
Micromachining,Growing,-17.65%
System Context Diagram,Rapidly Growing,-66.67%
Organ And Tissue Donation,Lagging,-2.97%
2D Animation,Stable,6.12%
Analog Signal Processing,Growing,14.29%
Other Postemployment Benefits,Rapidly Growing,-4.54%
Kaldi,Rapidly Growing,-50.00%
Stock Markets,Growing,4.25%
Investigator's Brochure,Growing,10.00%
Joining Processes,Stable,-2.67%
Social Media Integration,Stable,4.54%
Federal Motor Vehicle Safety Standards,Stable,-3.81%
Informatica Master Data Management,Lagging,-5.84%
Combinatorics,Rapidly Growing,0.00%
Campaign Monitor,Growing,-16.28%
MISRA C (C Programming Language),Growing,-1.45%
Adrenal Glands,Growing,0.00%
Microstrategy Architecture,Rapidly Growing,0.00%
Image Editing,Stable,-0.89%
Architectural Patterns,Stable,3.75%
Automated Critical Asset Management Systems,Growing,7.41%
DBArtisan,Rapidly Growing,20.00%
Options Counseling,Growing,4.84%
Luigi (Python Package),Lagging,-22.53%
Hormone Replacement Therapy,Rapidly Growing,-1.94%
Bloomberg Terminal,Lagging,-17.00%
Mixins,Rapidly Growing,100.00%
Hot Isostatic Pressing,Growing,-10.00%
Weight Training,Lagging,-14.43%
Data Preprocessing,Lagging,0.00%
Business-To-Consumer (B2C) Marketing,Stable,1.71%
Vehicle Recovery,Lagging,-8.75%
Floating Production,Rapidly Growing,0.00%
Forest Ecology,Stable,-2.41%
RF Planning,Rapidly Growing,-33.33%
Investigation Management,,
RF Environments,Growing,-13.64%
Art Theory,Stable,-12.50%
Oracle Exalogic,Rapidly Growing,-25.00%
Operating System Level Virtualization,Growing,11.32%
Active Directory Lightweight Directory Services,Rapidly Growing,7.69%
SONAR (Symantec),Lagging,-62.50%
IBM Master Data Management,Growing,-10.00%
Admission Notes,Lagging,-5.00%
Logic Simulation,Growing,7.41%
International Swaps And Derivatives Association (ISDA),Growing,-1.96%
Carotid Stenosis,Rapidly Growing,0.00%
Unconditional Positive Regard,Stable,1.72%
Edge Banding,Growing,0.00%
Ship Self Defense System (SSDS),Lagging,-16.00%
FDA Food Safety Modernization Act,Growing,2.70%
Exchange-Traded Products (ETP),Rapidly Growing,-15.38%
Air Force Network,Stable,5.56%
Carrier Management,Lagging,-5.56%
Ambulatory Blood Pressure Monitoring,Lagging,-4.54%
EEO Reporting,Growing,12.50%
Microsoft Paint,Lagging,-40.00%
Loan Promotion,Growing,0.00%
Agrochemicals,Growing,1.40%
Therapeutic Irrigation,Lagging,-9.09%
Liquid Scintillation Counting,Rapidly Growing,-3.33%
Itanium,Lagging,-50.00%
Automated Reasoning,Rapidly Growing,50.00%
Google Apps Script,Growing,4.35%
Doctrine Query Language (DQL),Rapidly Growing,26.67%
Auditd,Lagging,-16.67%
Covert Operations,Lagging,0.00%
Information Economics,Lagging,-33.33%
YouTube Advertising,Rapidly Growing,2.00%
Dyscalculia,Growing,6.67%
FinCEN 314 Program,Growing,2.20%
Mixture Model,Rapidly Growing,0.00%
Key Stretching,Growing,0.00%
Multicenter Trial,Growing,-10.00%
Scalding (DSL),Lagging,-9.52%
Political Communications,Rapidly Growing,-10.71%
Amazon Neptune,Growing,0.00%
Sand Casting,Growing,0.00%
Sudden Cardiac Death,Rapidly Growing,-5.88%
Managing Large Accounts,Lagging,-18.87%
Friction Welding,Rapidly Growing,-6.25%
Flow Assurance,Growing,-16.67%
Employee Research,Rapidly Growing,-21.43%
Apachebench,,
Marketing Operations Management,Growing,-4.17%
Language Localisation,Lagging,-9.09%
Water Quality Modeling,Rapidly Growing,-7.14%
Oral Disease Prevention,Growing,0.00%
Attorney-Client Privilege,Stable,1.89%
IBM Computers,Lagging,-50.00%
Precipitation,Lagging,-25.00%
OpenFOAM,Rapidly Growing,-4.54%
Enteroscopy,Growing,6.25%
Test Stand Design & Development,Growing,14.29%
RecoverPoint,Lagging,0.00%
PcAnywhere,Lagging,-25.00%
Linux Console,Rapidly Growing,4.54%
Nonparametric Statistics,Lagging,-14.71%
Capacitor Voltage Transformer,Rapidly Growing,-100.00%
Propertyware (Property Management Software),Stable,-8.33%
SOCET SET,Lagging,-36.36%
Doxygen,Growing,-11.77%
Diffusion Process,Rapidly Growing,-100.00%
Head-Mounted Displays (HMD),Rapidly Growing,-9.09%
Qualitative Inorganic Analysis,Rapidly Growing,-100.00%
Content-Based Image Retrieval,,
Breeze.js (Javascript Library),Rapidly Growing,0.00%
App Store Optimization,Rapidly Growing,-6.25%
TeamForge,Stable,0.00%
ChangeMan (Software),Lagging,-6.82%
Regulation NMS,Growing,-12.50%
HDR Photography,Rapidly Growing,-25.00%
Specrun,Lagging,-60.00%
ArcIMS,Lagging,-16.67%
Specific Ion Interaction Theory,Lagging,-50.00%
Pattern Casting,,
Nuclear Navy,Stable,-37.25%
Forensic Chemistry,Growing,-4.17%
Hemagglutination Assay,Growing,0.00%
Environmental Accounting,Growing,0.00%
Conduct Disorder,Stable,-21.21%
Energy Management Planning,Growing,-17.65%
Status Epilepticus,Rapidly Growing,14.29%
MIDAS Civil,Rapidly Growing,-11.54%
Materials Recovery Facility,Growing,-21.74%
Scientific Linux,Rapidly Growing,-33.33%
Distressed Securities,Growing,-18.75%
FlowTracer,,
Investigational Device Exemption,Growing,-5.00%
ThreatConnect,Growing,20.00%
Tablet Press,Rapidly Growing,6.67%
Accelerated Math,Lagging,-33.33%
Mixed Lymphocyte Reaction,Rapidly Growing,-11.11%
Structure Activity Relationship,Growing,11.43%
JSF 2,Lagging,-66.67%
Peoplesoft Internet Architecture,Growing,0.00%
Disaster Medicine,Growing,-9.09%
Food Process Engineering,Rapidly Growing,-19.23%
Code Composer Studio,Growing,-6.67%
TotalChrom,,
Magisto,,
Phylogenetic Tree,Lagging,-33.33%
Bowel Resection,Growing,-7.14%
Decorative Mosaics,Rapidly Growing,7.14%
Amag Symmetry,Stable,-5.56%
Heat Pipe,Rapidly Growing,0.00%
Parametric Methods,Rapidly Growing,14.29%
Digestive Disorders,Growing,11.54%
Expositions,Lagging,-13.64%
Polytetrafluoroethylene,Growing,-50.00%
Cyst Aspirations,Lagging,-5.88%
DtSearch,Lagging,-100.00%
Ladder Diagram,Stable,0.00%
Microformat,Lagging,-50.00%
Automated Fingerprint Identification System (AFIS),Lagging,-10.00%
Windows Template Libraries,Lagging,-12.50%
Thin-Layer Chromatography,Rapidly Growing,16.67%
Valve Job,Stable,-4.54%
Maximum Likelihood,Growing,-16.67%
Reward Management,Growing,0.00%
Special Use Airspace,Growing,-20.00%
Liver Function Tests,Lagging,-33.33%
Tree Diagrams,Growing,-15.79%
Functional Magnetic Resonance Imaging,Rapidly Growing,0.00%
Membrane Potential,Lagging,-100.00%
OpenCart,Rapidly Growing,-25.00%
Recording Format,Growing,-20.00%
Swiss Style Lathes,Lagging,-2.78%
Moment.js (Javascript Library),,
End Cap Placement,,
Asset Turnover,Lagging,-28.57%
XML Configuration Access Protocols,Stable,-9.09%
Secure Channel,Lagging,0.00%
Onepager Pro,Rapidly Growing,0.00%
Hot Pressing,Rapidly Growing,0.00%
Thermal Spraying,Lagging,-25.00%
Patent Drawing,,
Microsoft Forefront,Lagging,-60.00%
WinCross (Software),Rapidly Growing,-33.33%
Logical Operators,Lagging,0.00%
Negative Pressure Room,Rapidly Growing,10.00%
Continuum Mechanics,Growing,-10.00%
Geostationary Operational Environmental Satellite,Growing,-14.29%
HP Data Protector,Lagging,-50.00%
Electron Configuration,Lagging,0.00%
Financial Quotes,Growing,-40.00%
Biocomputing,Lagging,-42.86%
Filesystem-Level Encryption,,
Proc Report,Lagging,-22.22%
Radiation Hardening,Lagging,-40.00%
Blind Experimentation,Growing,0.00%
Hidden Markov Model,Rapidly Growing,-20.00%
3D Visualization,Rapidly Growing,16.67%
Enterprise Systems Connection (ESCON),Rapidly Growing,0.00%
Ethereum Virtual Machine,Rapidly Growing,0.00%
Federal Payroll Regulations,Lagging,-30.00%
Rotary Printing Press,,
Financial Aid Information Sessions,Lagging,-80.00%
Yslow,Rapidly Growing,-33.33%
Cucumber.js (Javascript Library),Growing,0.00%
Residential Energy Conservation,Lagging,-66.67%
Stripline,Lagging,-20.00%
GeoMedia,Lagging,-16.67%
Technology Valuation,Lagging,-50.00%
Fileshare,Lagging,-37.50%
MindManager,Rapidly Growing,0.00%
Long-Exposure Photography,Growing,-16.67%
Mobile IP,,
DFRmm - Data Facility Removable Media Manager,Lagging,-100.00%
Balloon Modeling,Rapidly Growing,0.00%
Adobe Substance,Rapidly Growing,-22.22%
NIS+,Rapidly Growing,-33.33%
Carbon-13 NMR,Rapidly Growing,0.00%
Chemical Oxygen Demand,Growing,-25.00%
macOS Sierra,Lagging,-50.00%
Cellular Neuroscience,Growing,0.00%
Vacuum Switch,,
Microsoft Baseline Security Analyzer,Lagging,-100.00%
Drag Reducing Agent,Lagging,-33.33%
WinAutomation,Rapidly Growing,0.00%
389 Directory Server (Fedora Project),,
Printed Circuit Board Design Standards,Rapidly Growing,-50.00%
PostScript,Lagging,-12.50%
Tree Maps,Growing,-16.67%
CYMA Payroll And Accounting Software,Rapidly Growing,-100.00%
Talent Mining,Lagging,0.00%
Electronic Clinical Research Information System (ECRIS),Rapidly Growing,0.00%
Android Multimedia,Rapidly Growing,0.00%
Formatting Objects Processor,Lagging,-100.00%
ExMark,,
Forced Induction,Rapidly Growing,0.00%
Pixel Art,Rapidly Growing,-100.00%
SAE J1708 Standard,,
Enterprise Data Headers,Lagging,-33.33%
Simultaneous Thermal Analysis,,
Visual MODFLOW,Lagging,0.00%
Prototype Pattern,,
Corel Photo-Paint,Lagging,-75.00%
Climate Data Exchange (CDX),,
ArtStation,,
Probiotic,,
LINQ To Entities,Lagging,0.00%
Prenatal Nutrition,Lagging,-75.00%
React Jsx,Lagging,-50.00%
Oracle Flashback,Lagging,0.00%
Chemical Weapon,Lagging,0.00%
Node B,Rapidly Growing,-100.00%
Steel Bank Common Lisp,,
Motion Estimation,Lagging,0.00%
Lumpectomy,Lagging,-16.67%
Azeotrope,,
Financial Econometrics,Lagging,-100.00%
Threading Building Blocks,Rapidly Growing,-100.00%
Volumetric Flow Rate,,
Maynard Operation Sequence Technique (MOST),Lagging,-50.00%
MIKE URBAN (Water Modeling Software),Rapidly Growing,50.00%
Hernia Repair,Growing,1.72%
OmniPage,Growing,-12.50%
GSelector,Rapidly Growing,-66.67%
Software Security Architecture,Rapidly Growing,-2.70%
Verbal And Physical Intervention,Lagging,-26.09%
Photoelectric Flame Photometer,Rapidly Growing,-25.00%
Ifconfig,Rapidly Growing,11.11%
Radiative Transfer,Lagging,-20.25%
Hasura GraphQL Engine,Rapidly Growing,12.50%
Interface Description Language,Lagging,-25.00%
Knowledge Management Software,Growing,0.00%
Phabricator,Lagging,-28.57%
Amazon Translate,Rapidly Growing,-100.00%
Managerial Epidemiology,Lagging,0.00%
Video Modeling,Rapidly Growing,0.00%
Automata Theory,Lagging,-50.00%
Polycystic Kidney Disease,Lagging,-28.57%
Infantry Tactics,,
Education Policy Analysis,Lagging,-16.67%
MOLPRO,,
File Inclusion Vulnerability,Lagging,-50.00%
Proton-Pump Inhibitor,Lagging,-50.00%
RMI-IIOP,Rapidly Growing,-50.00%
Multidistrict Litigation,Growing,-33.33%
DNA Computing,,
Treasury Enterprise Architecture Framework,,
Log4javascript,,
UltraVNC,,
Msiexec,,
Liquid Ring Pump,Rapidly Growing,-100.00%
European Social Funds,,
Push Relabel Maximum Flow Algorithm,,
WebSpeed (Openedge) Advanced Business Language,Lagging,-100.00%
Democracy Building,Lagging,0.00%
Endeca Guided Search,,
Neuromodulation,,
Animal Locomotion,Lagging,-66.67%
Bislama Language,,
Stack Trace,,
Gasoline Direct Injection,,
Molecular Beacon,,
Port Addressing,Rapidly Growing,-50.00%
Dangerous Substances And Explosive Atmospheres Regulations Of 2002 (DSEAR),Lagging,-100.00%
Onfocus,,
StatXact,Lagging,-100.00%
Hokkien Language,,
Jstack,Growing,-20.00%
Mp4box,,
Hardfacing,,
TOPO Cloning,,
Food Chain,,
Invision Power Board,Rapidly Growing,-100.00%
Generalized Audit Software,,
HOOPS 3D Graphics Systems,,
Efficient-Market Hypothesis,,
WebCIS,,
Synchronous Serial Interface,Lagging,-100.00%
MicroStrategy Transaction Services,,
Vscode,Lagging,-100.00%
Libnet,,
ExcelPackage,,
Grease Fitting,Lagging,-100.00%
Java Native Access,,
ProMED-Mail,,
Spatial Filter,,
Combinatorial Design,,
Microsoft Windows ME,,
Tanning,,
Jejunostomy,,
Comparative Economic Systems,,
House-Building,,
Masonic Lodge,,
International Military Education And Training,,
Application Restart,,
BaseX,,
Powergui,,
Pesticide Poisoning,Lagging,-100.00%
Currency Forward,,
Redline,,
Conic Optimization,,
Sylius,,
ATM Controllers,,
Ocean Biogeographic Information Systems,,
Junit3,,
Soil Survey,,
Aerobic Organisms,,
Multicast VLAN Registration (IEEE 802),,
Google Chart API,,
CadSoft EAGLE PCB,,
Common Language Information Services,Lagging,-100.00%
Dom4j,,
S/KEY,,
Pleasure Craft Operator Cards,,
HP Client Automation Software,,
LiveType,,
BitKeeper,,
Fiber Optic Network,Stable,-14.29%
Glass Tiles,,
Neurofeedback,,
Python Imaging Libraries (Python Package),Lagging,-100.00%
Long-Term Potentiation,,
Continuous-Time Markov Chain,,
Bond Duration,,
Private Network-To-Network Interface,,
Married Put,,
Httprequest,,
Anonymous Types,,
Reverse Repo Rates,,
AAA Protocol (Code Division Multiple Access),Lagging,-100.00%
Beagleboneblack,,
Intended Nationally Determined Contributions,,
DCRIS - Distributed Customer Records Information System,,
Fraud Detection And National Security Data System,,
Scratchboard,,
Toggl,,
K-Nearest Neighbors Algorithm,,
Novation,,
Masonite,,
Onsen UI,,
Technology CAD (Electronic Design Automation),,
Cardiac Muscle Cell,,
Windows MultiPoint Servers,,
Phosphorylation,,
FlashCopy,,
XML Schema Editor,,
Extensible Storage Engine,,
Immunix,,
Project Planning,Lagging,-3.88%
Conceptualization,Stable,-5.32%
Operational Data Store,Stable,3.43%
Gas Tungsten Arc Welding,Rapidly Growing,-2.35%
Food Quality Assurance And Control,Growing,-6.14%
Philanthropy,Growing,-0.50%
Accounts Receivable,Rapidly Growing,0.27%
Experience API (xAPI),Rapidly Growing,14.00%
Supply Management,Growing,-1.65%
Payroll Policies and Processes,,
Dialysis,Stable,-8.23%
Patient Observation,Stable,-3.81%
Roofing,Growing,0.87%
High Potential Identification,Lagging,2.20%
Navisworks (BIM Software),Rapidly Growing,4.23%
Lifecycle Management,Growing,0.43%
Strategic Resources,Stable,-0.56%
OpenSSL,Growing,-4.54%
Fiscal Management,Rapidly Growing,-4.89%
Pharmacokinetics,Growing,0.53%
Surveys,Growing,0.12%
Medical Ultrasonography,Stable,0.67%
Medical History Documentation,Growing,5.82%
Care Planning,Lagging,-1.93%
HyperText Markup Language (HTML),Growing,0.37%
Home Health Care,Growing,2.28%
Cloud Technologies,Growing,6.66%
Network Protocols,Stable,0.18%
Neurology,Growing,1.62%
Learning Styles,Rapidly Growing,-6.55%
Grafana,Growing,-0.70%
Physical Science,Lagging,1.81%
Animal Physiology,Growing,2.00%
Business Software,Growing,-1.46%
Small Engine Repair,Lagging,1.53%
Agriculture,Growing,-4.93%
Orthodontics,Stable,0.31%
Video Production,Growing,0.04%
Executive Recruitment,Growing,4.30%
Analytical Chemistry,Growing,-1.17%
Marine Biology,Lagging,-9.02%
Fashion Merchandising,Lagging,-17.91%
Vapor Recovery,Rapidly Growing,0.00%
Experimental Design,Growing,3.62%
Digital Radiography,Growing,8.33%
Screen Printing,Lagging,1.68%
Architectural Engineering,Lagging,-7.13%
Industrial Automation,Growing,-2.22%
Data Lakes,Growing,-0.94%
Zoology,Stable,-1.97%
Windows Management Instrumentation,Lagging,-8.72%
USA Patriot Act,Stable,-0.60%
Transact-SQL,Growing,-2.13%
Biotherapy,Growing,-1.80%
Diversity Equity And Inclusion Initiatives,Lagging,-6.31%
Network Configuration And Change Management,Stable,1.95%
Hemodialysis,Growing,-1.04%
Cisco Networking,Rapidly Growing,-2.46%
Gamification,Growing,4.93%
Multivariate Testing,Lagging,-9.84%
Windows Support,Stable,2.90%
Autodesk Maya,Stable,0.58%
Bugzilla,Growing,9.57%
Power Electronics Engineering,Growing,7.61%
Call Center Experience,Stable,-1.35%
Application Programming Interface (API),Growing,-4.66%
GIS Mapping,Rapidly Growing,-0.40%
Urology,Lagging,-22.86%
Criminal Investigation,Stable,4.89%
Job Entry Subsystem 2/3,Stable,4.74%
Information Privacy,Growing,-3.77%
Code Of Federal Regulations,Growing,7.67%
People Analytics,Growing,-1.65%
Alternative Financial Services,Lagging,-0.92%
Two-Way Radios,Growing,-0.34%
Recipes,Growing,-8.57%
Mergers And Acquisitions,Stable,0.17%
Amortization,Stable,-5.36%
Hepatitis,Stable,6.12%
Animal Welfare,Growing,3.01%
Engagement Surveys,Growing,0.00%
Product Quality (QA/QC),Growing,-0.10%
Medical Nutrition Therapy,Lagging,-2.16%
Aerospace Industry,Stable,-1.07%
Postman API Platform,Stable,-1.27%
Process Control,Growing,-1.32%
Executive Information Systems,Growing,-3.51%
Court Systems,Stable,5.19%
Allograft,Growing,6.78%
Law Enforcement,Stable,-4.69%
npm (Node Package Manager),Rapidly Growing,1.13%
Web Tools Platform,Lagging,-7.90%
Inventory Forecasting,Growing,-3.95%
Firefighting,Stable,-1.74%
Coronary Catheterization,Lagging,-4.00%
Security Devices,Rapidly Growing,-4.51%
Disease Management,Lagging,-7.08%
Reagent,Growing,2.41%
Credit Management,Growing,-2.55%
Base Transceiver Stations,Lagging,-0.69%
Risk Control,Rapidly Growing,19.20%
Risk Exposure Management,Lagging,-3.10%
Project Management Institute (PMI) Methodology,Growing,-2.15%
Merger Integration,Stable,5.90%
State Laws,Growing,0.53%
Chain Restaurants,Lagging,-4.58%
Environmental Health,Growing,6.22%
Energy Modeling,Lagging,-10.30%
Seating Guests,Growing,-5.64%
Rust Removal,Stable,4.51%
Cash Flow Forecasting,Growing,-1.12%
Emergency Preparedness,Stable,5.07%
Plant Science,Stable,5.68%
Process Flow Diagrams,Growing,-1.00%
Tomotherapy,Lagging,-1.79%
Grant Writing,Growing,-1.24%
Capacity Planning,Growing,-0.60%
System Software,Growing,6.05%
Civil Engineering Design,Rapidly Growing,-1.20%
Subsystems,Stable,4.55%
Application Services,Growing,6.02%
Pneumatic Tools,Lagging,-0.09%
Enovia (PLM Software),Lagging,-5.13%
Cultural Studies,Stable,-2.03%
SonicWall,Rapidly Growing,-3.20%
Phone Support,Growing,-0.60%
Diagnostic Medical Sonography,Lagging,-1.40%
Low-Voltage Differential Signaling,Rapidly Growing,13.95%
Disaster Response,Growing,7.99%
Institutional Research,Stable,-6.10%
JavaScript Frameworks,Growing,6.09%
Microsoft Windows 8,Growing,0.87%
Vestibular Rehabilitation,Stable,6.38%
Conference Services,Stable,2.54%
Medicaid Waiver,Stable,2.73%
Silicon On Insulator,Lagging,1.99%
Surgical Oncology,Growing,5.96%
Customer Engagement Strategy,Lagging,-4.17%
Defensive Tactics,Growing,-2.62%
Digital Media,Stable,2.40%
Error Proofing,Growing,12.21%
Economic Sanctions,Lagging,-2.63%
Aquaculture,Growing,7.74%
Travel Planning,Lagging,-5.36%
Heimlich Maneuver,Stable,-4.00%
Chemical Conversion,Stable,-2.22%
Configuration Design,Stable,0.80%
Environmental Planning,Growing,1.83%
Machine Learning Methods,Growing,11.44%
Industry Analysis,Stable,-0.29%
Exercise Therapy,Rapidly Growing,-0.62%
Ventricular Assist Device,Lagging,-3.04%
Bore Gauges,Rapidly Growing,4.96%
Single-Phase Electric Power,Lagging,-3.02%
Patient Administration Systems,Lagging,-0.64%
Network Layer,Stable,2.20%
Prosthodontics,Stable,4.90%
Arthroscopy,Lagging,0.45%
Log4j,Lagging,-3.81%
Transportation Modes,Growing,7.18%
Rubber Technology,Lagging,-17.39%
Electrical Circuit Analysis,Stable,0.72%
Water/Wastewater Engineering,Growing,-8.67%
General Insurance,Growing,6.51%
Equity Derivative,Growing,-2.27%
Waste Packaging,Lagging,-5.88%
Community Nutrition,Stable,0.52%
Windows Software,Growing,6.06%
Travel Advisory,Lagging,-16.27%
Readability,Lagging,-6.33%
Tapping,Growing,-6.78%
Erwin (Data Modeling Software),Lagging,2.95%
Project Integration,Stable,5.07%
Vision-Something-Library (VXL),Rapidly Growing,50.00%
Worship Ministry,Lagging,-6.77%
Net Stable Funding Ratio (NSFR),Rapidly Growing,16.67%
