Occupation,Skill_Name,Frequency_in_the_market
Soil / Plant Scientist,Biology,39.52%
Soil / Plant Scientist,Research,35.44%
Soil / Plant Scientist,Management,31.98%
Soil / Plant Scientist,Valid Driver's License,30.32%
Soil / Plant Scientist,Botany,29.71%
Soil / Plant Scientist,Communication,25.04%
Soil / Plant Scientist,Agriculture,24.28%
Soil / Plant Scientist,Soil Sampling,17.95%
Soil / Plant Scientist,Plant Science,17.65%
Solar Engineer,Communication,55.54%
Solar Engineer,Electrical Engineering,47.44%
Solar Engineer,Project Management,43.39%
Solar Engineer,Construction,34.80%
Solar Engineer,Management,32.42%
Solar Engineer,Operations,30.63%
Solar Engineer,AutoCAD,28.72%
Solar Engineer,Customer Service,26.70%
Solar Engineer,Subcontracting,26.46%
Solar Engineer,Professional Engineer (PE) License,22.88%
Solar Installer,Valid Driver's License,42.08%
Solar Installer,Troubleshooting (Problem Solving),33.06%
Solar Installer,Roofing,31.91%
Solar Installer,Communication,30.29%
Solar Installer,Solar Energy Systems Installation,29.12%
Solar Installer,Customer Service,25.31%
Solar Installer,Lifting Ability,23.32%
Solar Installer,Construction,22.54%
Solar Installer,Power Tool Operation,22.44%
Solar Installer,Electrical Wiring,22.04%
Solar Sales Representative,Solar Sales,83.36%
Solar Sales Representative,Sales,78.27%
Solar Sales Representative,Communication,45.59%
Solar Sales Representative,Customer Service,31.00%
Solar Sales Representative,Valid Driver's License,22.50%
Solar Sales Representative,Self-Motivation,21.86%
Solar Sales Representative,Sales Prospecting,16.29%
Solar Sales Representative,Sales Process,16.00%
Solar Sales Representative,Customer Relationship Management,14.55%
Solar Sales Representative,Interpersonal Communications,13.19%
Sound Engineering Technician,Communication,30.48%
Sound Engineering Technician,Lifting Ability,21.52%
Sound Engineering Technician,Troubleshooting (Problem Solving),17.90%
Sound Engineering Technician,Audio Engineering,14.48%
Sound Engineering Technician,Interpersonal Communications,14.10%
Sound Engineering Technician,Dropped Ceilings,13.90%
Sound Engineering Technician,Sound Effects,13.71%
Sound Engineering Technician,Organizational Skills,13.71%
Sound Engineering Technician,Sound Design,13.33%
Sound Engineering Technician,Problem Solving,13.33%
Special Education Teacher,Special Education,69.09%
Special Education Teacher,Teaching,47.86%
Special Education Teacher,Communication,39.82%
Special Education Teacher,Individualized Education Programs (IEP),39.75%
Special Education Teacher,Teaching Certificate,31.12%
Special Education Teacher,Disabilities,14.64%
Special Education Teacher,Planning,14.35%
Special Education Teacher,Autism Spectrum Disorders,13.19%
Special Education Teacher,Writing,12.81%
Special Education Teacher,Lesson Planning,12.72%
Speech Language Pathologist,Speech-Language Pathology,96.30%
Speech Language Pathologist,Communication,43.79%
Speech Language Pathologist,Certificate Of Clinical Competence In Speech-Language Pathology (CCC-SLP),35.03%
Speech Language Pathologist,Treatment Planning,28.64%
Speech Language Pathologist,Speech-Language Pathology License,26.03%
Speech Language Pathologist,Speech Therapy,18.55%
Speech Language Pathologist,Swallowing Disorders,17.40%
Speech Language Pathologist,Communication Disorders,17.08%
Speech Language Pathologist,Individualized Education Programs (IEP),16.76%
Speech Language Pathologist,Rehabilitation,15.36%
Speech Language Pathology Assistant,Speech-Language Pathology,86.48%
Speech Language Pathology Assistant,Communication,34.58%
Speech Language Pathology Assistant,Treatment Planning,20.78%
Speech Language Pathology Assistant,Speech Therapy,18.71%
Speech Language Pathology Assistant,Individualized Education Programs (IEP),15.05%
Speech Language Pathology Assistant,Communication Disorders,14.58%
Speech Language Pathology Assistant,Pediatrics,14.00%
Speech Language Pathology Assistant,Certificate Of Clinical Competence In Speech-Language Pathology (CCC-SLP),12.49%
Speech Language Pathology Assistant,Speech-Language Pathology License,12.06%
Speech Language Pathology Assistant,Interpersonal Communications,9.86%
Stage Manager,Stage Management,71.38%
Stage Manager,Communication,49.37%
Stage Manager,Management,29.56%
Stage Manager,Operations,28.30%
Stage Manager,Leadership,24.06%
Stage Manager,Organizational Skills,20.75%
Stage Manager,Detail Oriented,18.87%
Stage Manager,Production Management,18.71%
Stage Manager,Problem Solving,17.61%
Stage Manager,Coordinating,17.30%
Stationary Engineer / Boiler Operator,Boilers,62.63%
Stationary Engineer / Boiler Operator,Operations,37.46%
Stationary Engineer / Boiler Operator,HVAC,28.29%
Stationary Engineer / Boiler Operator,Boiler Operator,27.72%
Stationary Engineer / Boiler Operator,Communication,25.75%
Stationary Engineer / Boiler Operator,Troubleshooting (Problem Solving),24.16%
Stationary Engineer / Boiler Operator,Machinery,20.57%
Stationary Engineer / Boiler Operator,Management,20.36%
Stationary Engineer / Boiler Operator,Preventive Maintenance,19.18%
Stationary Engineer / Boiler Operator,Valves (Piping),17.59%
Statistician,Research,57.73%
Statistician,Statistics,48.59%
Statistician,Mathematics,37.54%
Statistician,Management,37.49%
Statistician,R (Programming Language),37.33%
Statistician,SAS (Software),36.72%
Statistician,Data Analysis,35.05%
Statistician,Communication,35.01%
Statistician,Statistical Methods,34.31%
Statistician,Statistical Analysis,31.50%
Sterile Processing Technician,Sterile Processing,85.27%
Sterile Processing Technician,Sterilization,70.35%
Sterile Processing Technician,Surgical Instruments,34.91%
Sterile Processing Technician,Certified Registered Central Service Technician (CRCST),29.18%
Sterile Processing Technician,Communication,24.17%
Sterile Processing Technician,Operating Room (OR),22.68%
Sterile Processing Technician,Certification Board For Sterile Processing And Distribution (CBSPD) Certification,22.57%
Sterile Processing Technician,Disinfecting,21.78%
Sterile Processing Technician,Surgery,20.77%
Sterile Processing Technician,Decontamination,20.72%
Stocking Clerk,Customer Service,67.57%
Stocking Clerk,Merchandising,64.95%
Stocking Clerk,Sales,59.29%
Stocking Clerk,Management,30.45%
Stocking Clerk,Communication,26.13%
Stocking Clerk,Cleanliness,23.18%
Stocking Clerk,Warehousing,19.84%
Stocking Clerk,Lifting Ability,16.67%
Stocking Clerk,Detail Oriented,16.18%
Stocking Clerk,Food Safety And Sanitation,16.09%
Storage / Distribution Manager,Warehousing,53.49%
Storage / Distribution Manager,Communication,38.63%
Storage / Distribution Manager,Operations,38.37%
Storage / Distribution Manager,Management,36.33%
Storage / Distribution Manager,Leadership,34.06%
Storage / Distribution Manager,Customer Service,30.76%
Storage / Distribution Manager,Problem Solving,21.64%
Storage / Distribution Manager,Sales,19.53%
Storage / Distribution Manager,Forklift Truck,17.95%
Storage / Distribution Manager,Detail Oriented,17.51%
Substance Abuse Counselor,Substance Abuse,53.29%
Substance Abuse Counselor,Treatment Planning,46.65%
Substance Abuse Counselor,Mental Health,29.45%
Substance Abuse Counselor,Communication,27.96%
Substance Abuse Counselor,Case Management,26.65%
Substance Abuse Counselor,Social Work,26.03%
Substance Abuse Counselor,Psychology,20.02%
Substance Abuse Counselor,Valid Driver's License,19.27%
Substance Abuse Counselor,Licensed Clinical Social Worker (LCSW),16.87%
Substance Abuse Counselor,Crisis Intervention,16.22%
Substitute Teacher,Teaching,58.84%
Substitute Teacher,Lesson Planning,49.54%
Substitute Teacher,Teaching Certificate,21.90%
Substitute Teacher,Communication,19.54%
Substitute Teacher,Classroom Management,13.70%
Substitute Teacher,Writing,10.31%
Substitute Teacher,Learning Styles,7.97%
Substitute Teacher,English Language,7.14%
Substitute Teacher,Management,6.34%
Substitute Teacher,Planning,6.24%
Supply Chain / Logistics Manager,Management,45.13%
Supply Chain / Logistics Manager,Operations,44.79%
Supply Chain / Logistics Manager,Communication,43.50%
Supply Chain / Logistics Manager,Supply Chain,42.67%
Supply Chain / Logistics Manager,Leadership,39.06%
Supply Chain / Logistics Manager,Customer Service,30.51%
Supply Chain / Logistics Manager,Planning,26.87%
Supply Chain / Logistics Manager,Supply Chain Management,24.40%
Supply Chain / Logistics Manager,Inventory Management,23.85%
Supply Chain / Logistics Manager,Problem Solving,23.31%
Surgical Assistant,Surgery,45.85%
Surgical Assistant,Basic Life Support (BLS) Certification,35.81%
Surgical Assistant,Operating Room (OR),30.27%
Surgical Assistant,Surgical Assist,27.97%
Surgical Assistant,Communication,27.73%
Surgical Assistant,Registered Nurse (RN),19.76%
Surgical Assistant,Surgical Procedures,19.76%
Surgical Assistant,Nursing,17.86%
Surgical Assistant,Oral And Maxillofacial Surgery,17.17%
Surgical Assistant,Sterilization,16.94%
Surgical Technician / Technologist,Operating Room (OR),46.24%
Surgical Technician / Technologist,Basic Life Support (BLS) Certification,39.96%
Surgical Technician / Technologist,Surgery,39.63%
Surgical Technician / Technologist,Certified Surgical Technologist (CST),32.64%
Surgical Technician / Technologist,Registered Nurse (RN),29.13%
Surgical Technician / Technologist,Surgical Procedures,28.70%
Surgical Technician / Technologist,Surgical Technology,26.99%
Surgical Technician / Technologist,Asepsis,21.80%
Surgical Technician / Technologist,Communication,16.76%
Surgical Technician / Technologist,Surgical Instruments,15.37%
Surveillance Officer / Investigator,Investigation,54.04%
Surveillance Officer / Investigator,Communication,37.62%
Surveillance Officer / Investigator,Law Enforcement,27.18%
Surveillance Officer / Investigator,Valid Driver's License,25.77%
Surveillance Officer / Investigator,Management,24.38%
Surveillance Officer / Investigator,Writing,23.47%
Surveillance Officer / Investigator,Operations,20.89%
Surveillance Officer / Investigator,Detail Oriented,17.00%
Surveillance Officer / Investigator,Problem Solving,14.79%
Surveillance Officer / Investigator,Time Management,14.19%
Survey Researcher,Valid Driver's License,50.18%
Survey Researcher,Smartphone Operation,41.91%
Survey Researcher,Collections,38.71%
Survey Researcher,Good Driving Record,38.16%
Survey Researcher,Sales,26.91%
Survey Researcher,Honesty,24.74%
Survey Researcher,Self-Motivation,22.74%
Survey Researcher,Online Surveys (Evaluation Methods),21.39%
Survey Researcher,Purchasing,19.96%
Survey Researcher,Research,18.87%
Surveying / Mapping Technician,Surveying,40.55%
Surveying / Mapping Technician,Communication,33.00%
Surveying / Mapping Technician,Valid Driver's License,32.22%
Surveying / Mapping Technician,Computer-Aided Design,18.09%
Surveying / Mapping Technician,Management,17.17%
Surveying / Mapping Technician,Topography,16.98%
Surveying / Mapping Technician,Geographic Information Systems,16.21%
Surveying / Mapping Technician,Research,16.07%
Surveying / Mapping Technician,AutoCAD Civil 3D,15.95%
Surveying / Mapping Technician,Detail Oriented,15.35%
Surveyor,Surveying,53.56%
Surveyor,Valid Driver's License,38.19%
Surveyor,Communication,33.63%
Surveyor,Topography,23.89%
Surveyor,Project Management,19.01%
Surveyor,Operations,18.24%
Surveyor,Good Driving Record,17.60%
Surveyor,AutoCAD,17.01%
Surveyor,Topographic Surveying,16.43%
Surveyor,Field Surveys,14.97%
Sustainability Specialist,Communication,54.98%
Sustainability Specialist,Management,52.58%
Sustainability Specialist,Research,32.56%
Sustainability Specialist,Project Management,31.98%
Sustainability Specialist,Presentations,31.82%
Sustainability Specialist,Operations,30.30%
Sustainability Specialist,Leadership,28.07%
Sustainability Specialist,Environmental Science,26.85%
Sustainability Specialist,Consulting,25.70%
Sustainability Specialist,Planning,23.08%
Switchboard / Telephone Operator,Communication,49.99%
Switchboard / Telephone Operator,Customer Service,43.40%
Switchboard / Telephone Operator,Wireless Paging Systems,18.80%
Switchboard / Telephone Operator,Operations,18.74%
Switchboard / Telephone Operator,Management,17.49%
Switchboard / Telephone Operator,Multitasking,14.37%
Switchboard / Telephone Operator,Clerical Works,13.12%
Switchboard / Telephone Operator,Professionalism,12.85%
Switchboard / Telephone Operator,Computer Literacy,11.88%
Switchboard / Telephone Operator,Detail Oriented,11.76%
Systems Analyst,Communication,45.35%
Systems Analyst,Management,36.80%
Systems Analyst,Systems Analysis,31.10%
Systems Analyst,Problem Solving,28.53%
Systems Analyst,Computer Science,26.19%
Systems Analyst,Project Management,25.01%
Systems Analyst,Operations,24.63%
Systems Analyst,Troubleshooting (Problem Solving),24.59%
Systems Analyst,Business Systems Analysis,22.43%
Systems Analyst,Business Requirements,22.12%
Tailor / Seamstress,Sewing,61.51%
Tailor / Seamstress,Garment Alterations,59.03%
Tailor / Seamstress,Customer Service,44.26%
Tailor / Seamstress,Communication,34.29%
Tailor / Seamstress,Sales,24.92%
Tailor / Seamstress,Merchandising,24.77%
Tailor / Seamstress,Lifting Ability,22.92%
Tailor / Seamstress,Management,22.31%
Tailor / Seamstress,Detail Oriented,21.52%
Tailor / Seamstress,Enthusiasm,19.02%
Talent / Sports Agent,Communication,51.47%
Talent / Sports Agent,Management,34.52%
Talent / Sports Agent,Project Management,34.09%
Talent / Sports Agent,Valid Driver's License,24.96%
Talent / Sports Agent,Renovation,24.25%
Talent / Sports Agent,Customer Service,20.63%
Talent / Sports Agent,Sales,20.08%
Talent / Sports Agent,Construction,19.96%
Talent / Sports Agent,Leadership,19.29%
Talent / Sports Agent,Marketing,18.57%
Talent Acquisition / Recruiting Manager,Communication,47.66%
Talent Acquisition / Recruiting Manager,Leadership,40.92%
Talent Acquisition / Recruiting Manager,Management,37.15%
Talent Acquisition / Recruiting Manager,Recruitment Strategies,24.88%
Talent Acquisition / Recruiting Manager,Applicant Tracking Systems,23.34%
Talent Acquisition / Recruiting Manager,Operations,21.05%
Talent Acquisition / Recruiting Manager,Customer Service,20.44%
Talent Acquisition / Recruiting Manager,Talent Acquisition,20.19%
Talent Acquisition / Recruiting Manager,Detail Oriented,18.95%
Talent Acquisition / Recruiting Manager,Marketing,17.15%
Tattoo Artist,Customer Service,34.38%
Tattoo Artist,Communication,27.39%
Tattoo Artist,First Aid Certification,23.71%
Tattoo Artist,Bloodborne Pathogens,22.98%
Tattoo Artist,Color Theory,22.06%
Tattoo Artist,Management,21.88%
Tattoo Artist,Sales,21.69%
Tattoo Artist,First Aid,19.12%
Tattoo Artist,Cardiopulmonary Resuscitation (CPR) Certification,17.83%
Tattoo Artist,Autoclaves,17.65%
Tax Analyst / Specialist,Accounting,64.22%
Tax Analyst / Specialist,Tax Returns,37.75%
Tax Analyst / Specialist,Communication,35.90%
Tax Analyst / Specialist,Auditing,34.06%
Tax Analyst / Specialist,Research,33.24%
Tax Analyst / Specialist,Finance,27.79%
Tax Analyst / Specialist,Microsoft Excel,25.18%
Tax Analyst / Specialist,Public Accounting,22.84%
Tax Analyst / Specialist,Writing,21.75%
Tax Analyst / Specialist,Detail Oriented,21.57%
Tax Examiner / Collector,Accounting,61.78%
Tax Examiner / Collector,Auditing,51.83%
Tax Examiner / Collector,Tax Returns,48.31%
Tax Examiner / Collector,Tax Laws,46.16%
Tax Examiner / Collector,Management,44.78%
Tax Examiner / Collector,Finance,43.27%
Tax Examiner / Collector,Operations,35.86%
Tax Examiner / Collector,Economics,34.66%
Tax Examiner / Collector,Investigation,30.61%
Tax Examiner / Collector,Certified Public Accountant,30.36%
Tax Manager,Accounting,74.61%
Tax Manager,Tax Management,48.64%
Tax Manager,Communication,42.46%
Tax Manager,Public Accounting,41.79%
Tax Manager,Management,41.54%
Tax Manager,Research,37.17%
Tax Manager,Finance,36.52%
Tax Manager,Auditing,36.06%
Tax Manager,Planning,33.50%
Tax Manager,Tax Returns,32.58%
Tax Preparer,Tax Preparation,87.16%
Tax Preparer,Willingness To Learn,49.97%
Tax Preparer,Communication,46.13%
Tax Preparer,Customer Service,42.41%
Tax Preparer,Computer Literacy,40.47%
Tax Preparer,Accounting,39.97%
Tax Preparer,Interpersonal Communications,37.27%
Tax Preparer,Tax Returns,34.84%
Tax Preparer,Tax Laws,30.54%
Tax Preparer,Preparer Tax Identification Number,26.24%
Teacher Assistant,Teaching,44.45%
Teacher Assistant,Communication,34.17%
Teacher Assistant,Special Education,22.49%
Teacher Assistant,Child Development,16.63%
Teacher Assistant,Preschool Education,16.34%
Teacher Assistant,Lesson Planning,14.40%
Teacher Assistant,Working With Children,13.19%
Teacher Assistant,Individualized Education Programs (IEP),12.69%
Teacher Assistant,Cardiopulmonary Resuscitation (CPR) Certification,12.10%
Teacher Assistant,Writing,11.99%
Technical Sales Representative,Sales,49.36%
Technical Sales Representative,Communication,41.52%
Technical Sales Representative,Customer Service,34.46%
Technical Sales Representative,Management,25.06%
Technical Sales Representative,Problem Solving,18.35%
Technical Sales Representative,Leadership,17.74%
Technical Sales Representative,Selling Techniques,16.51%
Technical Sales Representative,Technical Sales,16.39%
Technical Sales Representative,Operations,15.87%
Technical Sales Representative,Troubleshooting (Problem Solving),15.36%
Technical Writer,Writing,53.83%
Technical Writer,Communication,45.34%
Technical Writer,Technical Writing,37.34%
Technical Writer,Editing,29.77%
Technical Writer,Detail Oriented,28.30%
Technical Writer,Research,27.43%
Technical Writer,English Language,25.70%
Technical Writer,Microsoft Office,24.68%
Technical Writer,Management,21.58%
Technical Writer,Microsoft PowerPoint,20.94%
Technology Consultant,Communication,41.45%
Technology Consultant,Management,30.41%
Technology Consultant,Problem Solving,25.60%
Technology Consultant,Operations,23.00%
Technology Consultant,Troubleshooting (Problem Solving),21.41%
Technology Consultant,Project Management,20.62%
Technology Consultant,Leadership,19.68%
Technology Consultant,Consulting,19.04%
Technology Consultant,Computer Science,18.55%
Technology Consultant,Planning,18.18%
Telecommunications Engineering Specialist,Communication,45.08%
Telecommunications Engineering Specialist,Telecommunications,40.02%
Telecommunications Engineering Specialist,Troubleshooting (Problem Solving),23.83%
Telecommunications Engineering Specialist,Management,22.16%
Telecommunications Engineering Specialist,Operations,18.96%
Telecommunications Engineering Specialist,Problem Solving,15.35%
Telecommunications Engineering Specialist,Project Management,14.59%
Telecommunications Engineering Specialist,Customer Service,14.51%
Telecommunications Engineering Specialist,Computer Science,13.28%
Telecommunications Engineering Specialist,Writing,12.07%
Telemarketer,Sales,74.95%
Telemarketer,Telemarketing,61.13%
Telemarketer,Customer Service,46.46%
Telemarketer,Communication,36.01%
Telemarketer,Sales Prospecting,29.18%
Telemarketer,Selling Techniques,25.66%
Telemarketer,Self-Motivation,24.86%
Telemarketer,Interpersonal Communications,22.26%
Telemarketer,Rapport Building,20.56%
Telemarketer,Call Center Experience,20.18%
Telemetry Technician,Medical Telemetry,93.85%
Telemetry Technician,Electrocardiography,57.37%
Telemetry Technician,Nursing,52.63%
Telemetry Technician,Basic Life Support (BLS) Certification,44.32%
Telemetry Technician,Registered Nurse (RN),42.02%
Telemetry Technician,Communication,33.19%
Telemetry Technician,Cardiac Rhythm,26.92%
Telemetry Technician,Cardiac Dysrhythmia,24.59%
Telemetry Technician,Customer Service,18.44%
Telemetry Technician,Clerical Works,17.68%
Television / Satellite Television Installer,Customer Service,66.26%
Television / Satellite Television Installer,Sales,38.63%
Television / Satellite Television Installer,Product Knowledge,37.20%
Television / Satellite Television Installer,Technology Solutions,33.24%
Television / Satellite Television Installer,Troubleshooting (Problem Solving),21.15%
Television / Satellite Television Installer,Customer Engagement,16.04%
Television / Satellite Television Installer,Hand Tools,15.22%
Television / Satellite Television Installer,Valid Driver's License,13.68%
Television / Satellite Television Installer,Problem Solving,12.25%
Television / Satellite Television Installer,Sales Strategy,11.81%
Teller,Customer Service,76.52%
Teller,Cash Handling,55.52%
Teller,Communication,38.21%
Teller,Operations,38.04%
Teller,Management,36.83%
Teller,Sales,32.84%
Teller,Professionalism,30.46%
Teller,Balancing (Ledger/Billing),25.40%
Teller,Detail Oriented,24.13%
Teller,Teller Transactions,23.98%
Test Technician,Troubleshooting (Problem Solving),48.96%
Test Technician,Test Equipment,35.93%
Test Technician,Communication,27.90%
Test Technician,Detail Oriented,20.72%
Test Technician,Oscilloscope,18.65%
Test Technician,Electronics,16.66%
Test Technician,Microsoft Office,15.49%
Test Technician,Microsoft Excel,14.62%
Test Technician,Problem Solving,14.51%
Test Technician,Operations,14.04%
Tile / Granite Worker,Valid Driver's License,28.95%
Tile / Granite Worker,Detail Oriented,19.30%
Tile / Granite Worker,Lifting Ability,16.51%
Tile / Granite Worker,Hand Tools,14.78%
Tile / Granite Worker,Communication,13.78%
Tile / Granite Worker,Tiling,13.27%
Tile / Granite Worker,Power Tool Operation,9.65%
Tile / Granite Worker,Customer Service,9.43%
Tile / Granite Worker,Flooring,9.09%
Tile / Granite Worker,Sales,9.04%
Tire Changer / Technician,Valid Driver's License,39.46%
Tire Changer / Technician,Tires,39.16%
Tire Changer / Technician,Lifting Ability,32.46%
Tire Changer / Technician,Customer Service,28.98%
Tire Changer / Technician,Balancing (Ledger/Billing),22.74%
Tire Changer / Technician,Sales,21.79%
Tire Changer / Technician,Mentorship,18.60%
Tire Changer / Technician,Tire Balancing And Rotation,15.61%
Tire Changer / Technician,Tire Repairs,13.79%
Tire Changer / Technician,Microsoft Excel,12.23%
Title Examiner / Clerk,Customer Service,30.65%
Title Examiner / Clerk,Communication,30.47%
Title Examiner / Clerk,Detail Oriented,28.10%
Title Examiner / Clerk,Sales,17.68%
Title Examiner / Clerk,Management,15.54%
Title Examiner / Clerk,Research,14.20%
Title Examiner / Clerk,Organizational Skills,12.66%
Title Examiner / Clerk,Multitasking,12.09%
Title Examiner / Clerk,Problem Solving,11.96%
Title Examiner / Clerk,Microsoft Office,11.73%
Tool and Die Maker,Tooling,56.54%
Tool and Die Maker,Machining,39.55%
Tool and Die Maker,Lathes,39.52%
Tool and Die Maker,Grinding Machine,35.81%
Tool and Die Maker,Operations,33.72%
Tool and Die Maker,Troubleshooting (Problem Solving),33.23%
Tool and Die Maker,Blueprinting,25.61%
Tool and Die Maker,Milling,25.03%
Tool and Die Maker,Mathematics,20.63%
Tool and Die Maker,Hand Tools,20.55%
Tower Climber / Technician,Valid Driver's License,51.54%
Tower Climber / Technician,Communication,47.43%
Tower Climber / Technician,Telecommunications,41.63%
Tower Climber / Technician,Antenna,37.59%
Tower Climber / Technician,Hand Tools,28.41%
Tower Climber / Technician,Good Driving Record,25.48%
Tower Climber / Technician,Troubleshooting (Problem Solving),23.64%
Tower Climber / Technician,Cardiopulmonary Resuscitation (CPR) Certification,23.35%
Tower Climber / Technician,10-Hour OSHA General Industry Card,22.98%
Tower Climber / Technician,First Aid Certification,22.47%
Tractor-Trailer Truck Driver,Commercial Driver's License (CDL),29.68%
Tractor-Trailer Truck Driver,CDL Class A License,28.12%
Tractor-Trailer Truck Driver,Truck Driving,27.42%
Tractor-Trailer Truck Driver,Customer Service,16.20%
Tractor-Trailer Truck Driver,Valid Driver's License,16.19%
Tractor-Trailer Truck Driver,Good Driving Record,16.06%
Tractor-Trailer Truck Driver,Loading And Unloading,15.86%
Tractor-Trailer Truck Driver,Communication,13.40%
Tractor-Trailer Truck Driver,Lifting Ability,10.58%
Tractor-Trailer Truck Driver,Management,8.70%
Traffic Technician,Valid Driver's License,60.84%
Traffic Technician,Traffic Control,54.12%
Traffic Technician,Communication,43.73%
Traffic Technician,Signalized Traffic Control,39.16%
Traffic Technician,Operations,34.98%
Traffic Technician,Traffic Control Devices,33.33%
Traffic Technician,Troubleshooting (Problem Solving),26.87%
Traffic Technician,Commercial Driver's License (CDL),22.81%
Traffic Technician,Electrical Wiring,22.31%
Traffic Technician,Construction,17.24%
Train / Tram Driver,Operations,30.96%
Train / Tram Driver,Valid Driver's License,26.99%
Train / Tram Driver,Communication,26.64%
Train / Tram Driver,Loading And Unloading,23.25%
Train / Tram Driver,Customer Service,20.33%
Train / Tram Driver,Network Switches,19.04%
Train / Tram Driver,English Language,18.57%
Train / Tram Driver,General Mathematics,15.19%
Train / Tram Driver,Locomotive,15.07%
Train / Tram Driver,Coupling,14.02%
Train Rail Service Worker,Valid Driver's License,42.42%
Train Rail Service Worker,Communication,42.32%
Train Rail Service Worker,Troubleshooting (Problem Solving),29.74%
Train Rail Service Worker,Customer Service,25.20%
Train Rail Service Worker,Switchgear,23.55%
Train Rail Service Worker,Hand Tools,22.01%
Train Rail Service Worker,Mechanical Aptitude,20.16%
Train Rail Service Worker,Welding,19.61%
Train Rail Service Worker,Operations,18.91%
Train Rail Service Worker,Blueprinting,18.91%
Training and Development Manager,Communication,49.26%
Training and Development Manager,Leadership,48.91%
Training and Development Manager,Management,40.32%
Training and Development Manager,Training And Development,25.70%
Training and Development Manager,Customer Service,24.23%
Training and Development Manager,Operations,24.18%
Training and Development Manager,Sales,21.69%
Training and Development Manager,Project Management,21.47%
Training and Development Manager,Planning,20.07%
Training and Development Manager,Presentations,18.08%
Training and Development Specialist,Communication,45.67%
Training and Development Specialist,Management,28.04%
Training and Development Specialist,Leadership,25.25%
Training and Development Specialist,Customer Service,23.68%
Training and Development Specialist,Operations,21.05%
Training and Development Specialist,Presentations,18.39%
Training and Development Specialist,Writing,18.10%
Training and Development Specialist,Sales,17.39%
Training and Development Specialist,Microsoft Office,17.12%
Training and Development Specialist,Training And Development,16.42%
Transportation Engineer,Civil Engineering,51.78%
Transportation Engineer,Transport Engineering,46.18%
Transportation Engineer,Project Management,44.55%
Transportation Engineer,MicroStation (CAD Design Software),38.65%
Transportation Engineer,Communication,35.72%
Transportation Engineer,Professional Engineer (PE) License,32.43%
Transportation Engineer,Planning,32.06%
Transportation Engineer,Management,24.15%
Transportation Engineer,Traffic Engineering,23.45%
Transportation Engineer,AutoCAD,22.13%
Transportation Inspector,Communication,37.30%
Transportation Inspector,Valid Driver's License,30.20%
Transportation Inspector,Detail Oriented,26.73%
Transportation Inspector,Customer Service,22.35%
Transportation Inspector,Writing,19.39%
Transportation Inspector,Lifting Ability,18.73%
Transportation Inspector,Coordinating,17.06%
Transportation Inspector,Computer Literacy,16.49%
Transportation Inspector,English Language,15.79%
Transportation Inspector,Teamwork,15.42%
Transportation Maintenance Worker,Traffic Control,56.00%
Transportation Maintenance Worker,Valid Driver's License,49.78%
Transportation Maintenance Worker,Communication,28.33%
Transportation Maintenance Worker,Operations,22.69%
Transportation Maintenance Worker,Construction,20.37%
Transportation Maintenance Worker,Lifting Ability,18.95%
Transportation Maintenance Worker,Flagger Certification,15.44%
Transportation Maintenance Worker,Commercial Driver's License (CDL),15.28%
Transportation Maintenance Worker,Traffic Flow,14.02%
Transportation Maintenance Worker,Hand Tools,12.83%
Transportation Manager,Operations,46.75%
Transportation Manager,Management,42.81%
Transportation Manager,Communication,42.70%
Transportation Manager,Customer Service,35.90%
Transportation Manager,Leadership,31.27%
Transportation Manager,Planning,18.78%
Transportation Manager,Valid Driver's License,17.72%
Transportation Manager,Sales,17.20%
Transportation Manager,Problem Solving,16.13%
Transportation Manager,Scheduling,14.52%
Transportation Security Officer,Customer Service,27.54%
Transportation Security Officer,Professionalism,25.51%
Transportation Security Officer,Management,24.88%
Transportation Security Officer,Communication,23.09%
Transportation Security Officer,Memos,17.39%
Transportation Security Officer,Transportation Security Administration (TSA),17.20%
Transportation Security Officer,Detail Oriented,16.57%
Transportation Security Officer,English Language,14.98%
Transportation Security Officer,Critical Thinking,14.30%
Transportation Security Officer,Interpersonal Communications,13.53%
Transportation Supervisor,Operations,48.95%
Transportation Supervisor,Communication,44.42%
Transportation Supervisor,Management,37.74%
Transportation Supervisor,Customer Service,37.03%
Transportation Supervisor,Valid Driver's License,26.57%
Transportation Supervisor,Leadership,24.63%
Transportation Supervisor,Scheduling,18.44%
Transportation Supervisor,Problem Solving,17.32%
Transportation Supervisor,Microsoft Office,16.27%
Transportation Supervisor,Computer Literacy,16.02%
Transportation Traffic Controller,Federal Aviation Administration,39.04%
Transportation Traffic Controller,Air Traffic Control,38.23%
Transportation Traffic Controller,Operations,35.88%
Transportation Traffic Controller,Communication,31.06%
Transportation Traffic Controller,Planning,27.20%
Transportation Traffic Controller,Management,27.01%
Transportation Traffic Controller,Traffic Control,22.42%
Transportation Traffic Controller,Customer Service,21.33%
Transportation Traffic Controller,Valid Driver's License,20.33%
Transportation Traffic Controller,Leadership,14.93%
Travel / Tour Guide,Customer Service,31.97%
Travel / Tour Guide,Communication,28.72%
Travel / Tour Guide,Valid Driver's License,12.53%
Travel / Tour Guide,Leadership,12.22%
Travel / Tour Guide,Operations,11.80%
Travel / Tour Guide,Sales,11.26%
Travel / Tour Guide,Management,10.99%
Travel / Tour Guide,Public Speaking,9.98%
Travel / Tour Guide,Lifting Ability,8.75%
Travel / Tour Guide,Teaching,8.64%
